choice,x.1,x.2,x.3,d.1,d.2
12,0.264161268,1.462362841,2.565903024,-1.293467223,2.140792932
22,-0.991668545,1.423601668,2.042829789,-2.042789476,1.282973601
25,0.287986545,0.152256552,3.100631949,-2.225987631,0.740197103
24,-0.256928763,2.754606,2.265752994,-1.505811734,0.932522297
18,-2.402894606,1.499964415,1.760030815,-1.657707236,0.833477685
29,1.026941781,2.516240509,3.640443388,0.298330671,1.572737794
5,0.56081774,2.085625404,1.91047032,-1.610773606,1.570371017
18,-2.402894606,1.499964415,1.760030815,-2.400306327,-0.179837194
8,0.300545532,1.163765672,1.872015986,-1.022953003,1.417502067
29,1.026941781,2.516240509,3.640443388,0.345950097,2.489430156
11,-0.444533984,0.222900892,2.007848775,-2.737532553,1.952101785
29,1.026941781,2.516240509,3.640443388,-1.881884532,2.338766554
29,1.026941781,2.516240509,3.640443388,-0.538760182,1.910395863
24,-0.256928763,2.754606,2.265752994,-1.782948574,0.81257746
16,-1.37692266,0.206646709,3.735740719,-1.384383103,1.292238009
29,1.026941781,2.516240509,3.640443388,-1.108412616,2.222025081
24,-0.256928763,2.754606,2.265752994,-0.575144509,1.752061137
29,1.026941781,2.516240509,3.640443388,-1.885483977,3.79004815
29,1.026941781,2.516240509,3.640443388,-0.007620326,1.566840895
12,0.264161268,1.462362841,2.565903024,-0.116922785,1.616565062
29,1.026941781,2.516240509,3.640443388,-1.822933126,2.437794031
29,1.026941781,2.516240509,3.640443388,-0.808888573,1.60313609
6,-0.886914693,1.645032857,1.779570816,-1.60153141,0.189464732
23,0.642784775,1.41269264,0.097406306,-0.366940985,0.662367853
7,-1.472914183,-0.85104105,0.5107855,-2.509269788,0.014598922
29,1.026941781,2.516240509,3.640443388,-0.408551546,0.726490573
24,-0.256928763,2.754606,2.265752994,-1.339889325,2.483502526
29,1.026941781,2.516240509,3.640443388,-0.377877578,2.922884174
24,-0.256928763,2.754606,2.265752994,-0.649157979,0.892309968
6,-0.886914693,1.645032857,1.779570816,-0.646766878,0.835408516
21,0.196205629,1.58552205,1.567075356,-0.152604493,1.273378545
21,0.196205629,1.58552205,1.567075356,-0.990234606,-0.416174047
7,-1.472914183,-0.85104105,0.5107855,-3.077227912,-0.240320135
12,0.264161268,1.462362841,2.565903024,-1.911477004,2.285687254
29,1.026941781,2.516240509,3.640443388,0.54628967,1.833014372
24,-0.256928763,2.754606,2.265752994,0.327498637,0.406565667
29,1.026941781,2.516240509,3.640443388,-0.902305203,1.311686165
9,-1.053842446,1.367838803,3.113957413,-1.594676946,1.074469916
29,1.026941781,2.516240509,3.640443388,-0.329001447,1.507347384
29,1.026941781,2.516240509,3.640443388,0.164167596,1.061215742
23,0.642784775,1.41269264,0.097406306,-1.505744603,-0.148775161
7,-1.472914183,-0.85104105,0.5107855,-2.986219745,-0.345533407
29,1.026941781,2.516240509,3.640443388,0.937235593,2.105358163
5,0.56081774,2.085625404,1.91047032,-1.503557856,3.171400537
29,1.026941781,2.516240509,3.640443388,-0.907634708,1.965656311
29,1.026941781,2.516240509,3.640443388,0.069371603,1.560147033
23,0.642784775,1.41269264,0.097406306,-1.483960583,0.407551489
16,-1.37692266,0.206646709,3.735740719,-1.417800295,1.393341997
6,-0.886914693,1.645032857,1.779570816,-1.458825303,1.756947514
16,-1.37692266,0.206646709,3.735740719,-0.251538861,-0.021519591
19,0.595510056,1.536614777,1.630393127,-0.198871804,-0.548514817
29,1.026941781,2.516240509,3.640443388,0.137208077,-0.365684991
23,0.642784775,1.41269264,0.097406306,-0.554410241,-0.294184878
7,-1.472914183,-0.85104105,0.5107855,-1.383024432,0.148981738
25,0.287986545,0.152256552,3.100631949,-0.640383591,2.405901675
12,0.264161268,1.462362841,2.565903024,-1.323566482,1.894191853
19,0.595510056,1.536614777,1.630393127,-1.907752673,0.820424763
29,1.026941781,2.516240509,3.640443388,-0.015485357,1.520945497
21,0.196205629,1.58552205,1.567075356,-1.988744779,-0.040120302
29,1.026941781,2.516240509,3.640443388,-0.128371272,1.467661293
29,1.026941781,2.516240509,3.640443388,-0.227618493,2.330870934
3,-1.180979756,0.751009664,0.521851263,-1.687101832,0.438559763
6,-0.886914693,1.645032857,1.779570816,-2.211200614,1.277714252
29,1.026941781,2.516240509,3.640443388,-0.840229642,0.986798289
29,1.026941781,2.516240509,3.640443388,-1.998502683,1.719936188
29,1.026941781,2.516240509,3.640443388,-0.949152106,0.989661985
11,-0.444533984,0.222900892,2.007848775,-1.751666371,0.529476277
29,1.026941781,2.516240509,3.640443388,0.52912098,1.994105252
9,-1.053842446,1.367838803,3.113957413,-0.947911397,-0.123045205
21,0.196205629,1.58552205,1.567075356,-0.132021535,-1.230628672
9,-1.053842446,1.367838803,3.113957413,-1.094486149,0.981987933
21,0.196205629,1.58552205,1.567075356,-0.611930736,0.884122414
31,0,0,0,-0.481975973,0.30201894
29,1.026941781,2.516240509,3.640443388,-1.076842881,1.334384036
29,1.026941781,2.516240509,3.640443388,0.769690681,1.555021242
22,-0.991668545,1.423601668,2.042829789,-1.884502691,0.44198963
23,0.642784775,1.41269264,0.097406306,-0.635062098,0.52575758
29,1.026941781,2.516240509,3.640443388,-1.273838698,1.832776631
29,1.026941781,2.516240509,3.640443388,-0.259366777,0.865670952
6,-0.886914693,1.645032857,1.779570816,-0.130140394,0.216644364
22,-0.991668545,1.423601668,2.042829789,-1.090436979,-0.851673365
24,-0.256928763,2.754606,2.265752994,-1.323437145,1.853038425
29,1.026941781,2.516240509,3.640443388,-0.607831023,0.624747094
29,1.026941781,2.516240509,3.640443388,0.039760957,0.937517687
13,0.807992574,1.824290909,1.634805033,-1.791594553,2.031404018
21,0.196205629,1.58552205,1.567075356,-1.605254483,1.508280622
29,1.026941781,2.516240509,3.640443388,-2.475856433,3.590152655
12,0.264161268,1.462362841,2.565903024,-0.213536253,0.689171735
8,0.300545532,1.163765672,1.872015986,-0.392084908,0.708414264
7,-1.472914183,-0.85104105,0.5107855,-3.055609276,0.089141385
24,-0.256928763,2.754606,2.265752994,-0.026432218,1.234886123
5,0.56081774,2.085625404,1.91047032,-1.850139374,-0.385721279
11,-0.444533984,0.222900892,2.007848775,-0.43419873,0.337122873
23,0.642784775,1.41269264,0.097406306,0.805462085,-1.104608484
29,1.026941781,2.516240509,3.640443388,-0.550668895,3.054599604
18,-2.402894606,1.499964415,1.760030815,-1.949096254,0.270266239
29,1.026941781,2.516240509,3.640443388,-0.709076423,0.00368575
29,1.026941781,2.516240509,3.640443388,-0.406816167,0.782262141
29,1.026941781,2.516240509,3.640443388,0.295984259,2.649439263
16,-1.37692266,0.206646709,3.735740719,-0.999741704,0.780236693
6,-0.886914693,1.645032857,1.779570816,-0.754493938,-0.038164934
6,-0.886914693,1.645032857,1.779570816,-2.104893413,-0.141889929
6,-0.886914693,1.645032857,1.779570816,-0.715908561,1.162015083
18,-2.402894606,1.499964415,1.760030815,-0.369504614,-0.037200796
24,-0.256928763,2.754606,2.265752994,-0.235631627,0.699180978
29,1.026941781,2.516240509,3.640443388,0.535128646,1.353226803
7,-1.472914183,-0.85104105,0.5107855,-2.275048605,1.224627686
24,-0.256928763,2.754606,2.265752994,-2.440233392,1.668147722
18,-2.402894606,1.499964415,1.760030815,-3.12255109,0.533141355
12,0.264161268,1.462362841,2.565903024,-0.78483736,0.290580394
8,0.300545532,1.163765672,1.872015986,-0.197360596,1.435587471
29,1.026941781,2.516240509,3.640443388,-1.799758094,1.845069462
19,0.595510056,1.536614777,1.630393127,-1.876588168,0.887507928
18,-2.402894606,1.499964415,1.760030815,-0.543240474,-0.457750752
29,1.026941781,2.516240509,3.640443388,-0.414112627,1.074720464
29,1.026941781,2.516240509,3.640443388,-0.95221368,0.927105999
22,-0.991668545,1.423601668,2.042829789,-2.778145789,1.808885696
18,-2.402894606,1.499964415,1.760030815,-1.802501497,0.458403717
29,1.026941781,2.516240509,3.640443388,0.995556651,1.50793343
18,-2.402894606,1.499964415,1.760030815,-1.789522839,-0.357534501
29,1.026941781,2.516240509,3.640443388,-0.475738247,2.713088337
16,-1.37692266,0.206646709,3.735740719,-0.949160784,2.229888253
24,-0.256928763,2.754606,2.265752994,-0.867981495,1.546457468
2,0.137100148,0.202200784,1.313701515,-3.468179084,1.726665961
8,0.300545532,1.163765672,1.872015986,-0.778524009,0.710106838
18,-2.402894606,1.499964415,1.760030815,-2.623386364,1.55711006
29,1.026941781,2.516240509,3.640443388,-0.30413187,1.352189265
13,0.807992574,1.824290909,1.634805033,1.019121895,0.635095147
24,-0.256928763,2.754606,2.265752994,-0.613477237,3.167634176
2,0.137100148,0.202200784,1.313701515,-1.18006299,1.454614642
12,0.264161268,1.462362841,2.565903024,-1.309899695,1.079835069
3,-1.180979756,0.751009664,0.521851263,-2.229830699,-0.170866905
21,0.196205629,1.58552205,1.567075356,-0.634170158,0.980328258
29,1.026941781,2.516240509,3.640443388,-1.085869427,2.263550224
27,1.205176534,-0.786588666,1.35376463,-0.490659373,1.48270378
22,-0.991668545,1.423601668,2.042829789,0.826346283,-0.942618926
29,1.026941781,2.516240509,3.640443388,-0.465655037,1.662064391
29,1.026941781,2.516240509,3.640443388,-1.471485513,2.024552266
29,1.026941781,2.516240509,3.640443388,-0.945268992,1.628871496
24,-0.256928763,2.754606,2.265752994,-2.233579074,1.805370448
29,1.026941781,2.516240509,3.640443388,-0.654724399,2.377623641
18,-2.402894606,1.499964415,1.760030815,-3.206517833,0.936960695
8,0.300545532,1.163765672,1.872015986,-0.683716627,1.329404497
31,0,0,0,-3.254274587,-0.090069381
5,0.56081774,2.085625404,1.91047032,1.325695484,-0.882962266
24,-0.256928763,2.754606,2.265752994,0.149856174,0.015847284
29,1.026941781,2.516240509,3.640443388,0.014711052,0.798392371
8,0.300545532,1.163765672,1.872015986,-2.358887801,3.014876939
5,0.56081774,2.085625404,1.91047032,-0.553729114,1.417383406
18,-2.402894606,1.499964415,1.760030815,-3.013651818,0.914953304
29,1.026941781,2.516240509,3.640443388,-0.098157891,1.855386481
24,-0.256928763,2.754606,2.265752994,-0.819159187,0.481859022
12,0.264161268,1.462362841,2.565903024,-1.146922428,0.886520792
29,1.026941781,2.516240509,3.640443388,-0.064693194,1.965477098
8,0.300545532,1.163765672,1.872015986,0.080353345,-0.071919049
8,0.300545532,1.163765672,1.872015986,-0.437512054,0.304430328
6,-0.886914693,1.645032857,1.779570816,-1.387759736,1.959854732
29,1.026941781,2.516240509,3.640443388,-0.366914882,2.759102663
12,0.264161268,1.462362841,2.565903024,-1.045098957,1.127009411
28,-0.878088594,0.873728212,0.289505684,-1.619285891,0.984561524
