Experiment,Period,Subject,Value,BidC3_o,,BidNC,Market,BidC3,BidC6,Ncont,Size6,Vh,BidC6
3,5,1,9.21,8,.,.,1,8,8.5,0,0,30,8.5
3,5,2,4.38,4,.,.,0,4,4.25,0,0,30,4.25
3,5,3,28.05,21.05,.,.,0,21.05,22.05,0,0,30,22.05
3,5,4,26.44,20.44,.,.,1,20.44,21.44,0,0,30,21.44
3,5,5,21.49,18.49,.,.,0,18.49,19.49,0,0,30,19.49
3,5,6,26.88,22.89,.,.,1,22.89,24.89,0,0,30,24.89
3,6,1,29.97,20.97,.,.,2,20.97,23.07,0,1,30,23.07
3,6,2,20.13,17.13,.,.,2,17.13,18.13,0,1,30,18.13
3,6,3,12.46,10,.,.,2,10,11,0,1,30,11
3,6,4,14.16,12.16,.,.,2,12.16,12.16,0,1,30,12.16
3,6,5,4.63,4,.,.,2,4,4,0,1,30,4
3,6,6,19.04,17.05,.,.,2,17.05,18.05,0,1,30,18.05
3,7,1,13.43,11.33,.,.,2,11.33,12.33,0,1,30,12.33
3,7,2,16.06,13.06,.,.,2,13.06,14.06,0,1,30,14.06
3,7,3,20.04,15,.,.,2,15,16,0,1,30,16
3,7,4,24.85,21.85,.,.,2,21.85,22.85,0,1,30,22.85
3,7,5,2.53,2,.,.,2,2,2,0,1,30,2
3,7,6,29.78,22.78,.,.,2,22.78,23.78,0,1,30,23.78
3,8,1,24.11,20.01,.,.,2,20.01,22.01,0,1,30,22.01
3,8,2,17.26,14.26,.,.,2,14.26,16.26,0,1,30,16.26
3,8,3,23.78,20.78,.,.,2,20.78,23,0,1,30,23
3,8,4,25.18,21.18,.,.,2,21.18,22.48,0,1,30,22.48
3,8,5,22.47,19.47,.,.,2,19.47,20.47,0,1,30,20.47
3,8,6,5.38,3,.,.,2,3,4,0,1,30,4
3,9,1,13.07,12,.,12,2,12,12.57,1,1,30,12.57
3,9,2,23.21,21.21,.,21.71,2,21.21,22.21,1,1,30,22.21
3,9,3,7.11,7,.,7,2,7,7,1,1,30,7
3,9,4,21.47,18.47,.,19.47,2,18.47,19.47,1,1,30,19.47
3,9,5,9.18,7.18,.,7.18,2,7.18,8.18,1,1,30,8.18
3,9,6,11.58,10.58,.,11.08,2,10.58,11.08,1,1,30,11.08
3,10,1,17.11,15.01,.,16.01,2,15.01,16.51,0,1,30,16.51
3,10,2,12.24,11.24,.,11.49,2,11.24,11.74,0,1,30,11.74
3,10,3,28.09,22.09,.,23.09,2,22.09,23.09,0,1,30,23.09
3,10,4,2.23,2,.,2,2,2,2,0,1,30,2
3,10,5,22,19,.,19,2,19,20,0,1,30,20
3,10,6,25.99,22.99,.,23.99,2,22.99,23.99,0,1,30,23.99
3,11,1,26.67,21.07,.,22.67,2,21.07,23.07,0,1,30,23.07
3,11,2,19.4,18.4,.,18.65,2,18.4,18.9,0,1,30,18.9
3,11,3,15.3,12.3,.,15,2,12.3,15,0,1,30,15
3,11,4,11.76,8,.,8.76,2,8,9,0,1,30,9
3,11,5,9.3,8.3,.,8.3,2,8.3,8.3,0,1,30,8.3
3,11,6,11.19,10.17,.,10.19,2,10.17,10.19,0,1,30,10.19
3,12,1,28,21.5,.,23,2,21.5,23.5,0,1,30,23.5
3,12,2,16.89,14.89,.,15.39,2,14.89,15.89,0,1,30,15.89
3,12,3,22.24,20.24,.,20.24,2,20.24,22,0,1,30,22
3,12,4,6.28,6.28,.,6.28,2,6.28,6.28,0,1,30,6.28
3,12,5,24.41,20.41,.,20.41,2,20.41,21.41,0,1,30,21.41
3,12,6,29.2,22.2,.,23.2,2,22.2,23.2,0,1,30,23.2
3,13,1,17.13,15.13,.,16.03,2,15.13,16.53,1,1,30,16.53
3,13,2,2.16,2,.,2.04,2,2,2.08,1,1,30,2.08
3,13,3,11.31,11,.,10,2,11,11,1,1,30,11
3,13,4,6.09,1,.,1.09,2,1,1.09,1,1,30,1.09
3,13,5,25.49,22.49,.,23.49,2,22.49,23.49,1,1,30,23.49
3,13,6,5.54,5,.,5,2,5,5,1,1,30,5
3,14,1,4.63,4,.,4,1,4,4,1,0,30,4
3,14,2,9.11,8.61,.,8.91,0,8.61,9,1,0,30,9
3,14,3,7.54,7,.,7,0,7,7,1,0,30,7
3,14,4,22.7,18.7,.,20.7,1,18.7,19.7,1,0,30,19.7
3,14,5,5.19,4.19,.,4.19,0,4.19,4.19,1,0,30,4.19
3,14,6,15.09,13.09,.,14.09,1,13.09,14.09,1,0,30,14.09
3,15,1,16.2,14.2,.,15.2,1,14.2,15.7,1,0,30,15.7
3,15,2,23.53,19.53,.,20.53,0,19.53,21.53,1,0,30,21.53
3,15,3,20.28,19,.,19,1,19,19,1,0,30,19
