state,year,cigs,loggdppercap,retprice,pctage1524,beerpercap,cigsalespercap88,cigsalespercap80,cigsalespercap75
AL,1970,89.8,9.679,89.344,0.175,18.96,112.1,123.2,111.7
AL,1971,95.4,9.679,89.344,0.175,18.96,112.1,123.2,111.7
AL,1972,101.1,9.679,89.344,0.175,18.96,112.1,123.2,111.7
AL,1973,102.9,9.679,89.344,0.175,18.96,112.1,123.2,111.7
AL,1974,108.2,9.679,89.344,0.175,18.96,112.1,123.2,111.7
AL,1975,111.7,9.679,89.344,0.175,18.96,112.1,123.2,111.7
AL,1976,116.2,9.679,89.344,0.175,18.96,112.1,123.2,111.7
AL,1977,117.1,9.679,89.344,0.175,18.96,112.1,123.2,111.7
AL,1978,123,9.679,89.344,0.175,18.96,112.1,123.2,111.7
AL,1979,121.4,9.679,89.344,0.175,18.96,112.1,123.2,111.7
AL,1980,123.2,9.679,89.344,0.175,18.96,112.1,123.2,111.7
AL,1981,119.6,9.679,89.344,0.175,18.96,112.1,123.2,111.7
AL,1982,119.1,9.679,89.344,0.175,18.96,112.1,123.2,111.7
AL,1983,116.3,9.679,89.344,0.175,18.96,112.1,123.2,111.7
AL,1984,113,9.679,89.344,0.175,18.96,112.1,123.2,111.7
AL,1985,114.5,9.679,89.344,0.175,18.96,112.1,123.2,111.7
AL,1986,116.3,9.679,89.344,0.175,18.96,112.1,123.2,111.7
AL,1987,114,9.679,89.344,0.175,18.96,112.1,123.2,111.7
AL,1988,112.1,9.679,89.344,0.175,18.96,112.1,123.2,111.7
AL,1989,105.6,9.679,89.344,0.175,18.96,112.1,123.2,111.7
AL,1990,108.6,9.679,89.344,0.175,18.96,112.1,123.2,111.7
AL,1991,107.9,9.679,89.344,0.175,18.96,112.1,123.2,111.7
AL,1992,109.1,9.679,89.344,0.175,18.96,112.1,123.2,111.7
AL,1993,108.5,9.679,89.344,0.175,18.96,112.1,123.2,111.7
AL,1994,107.1,9.679,89.344,0.175,18.96,112.1,123.2,111.7
AL,1995,102.6,9.679,89.344,0.175,18.96,112.1,123.2,111.7
AL,1996,101.4,9.679,89.344,0.175,18.96,112.1,123.2,111.7
AL,1997,104.9,9.679,89.344,0.175,18.96,112.1,123.2,111.7
AL,1998,106.2,9.679,89.344,0.175,18.96,112.1,123.2,111.7
AL,1999,100.7,9.679,89.344,0.175,18.96,112.1,123.2,111.7
AL,2000,96.2,9.679,89.344,0.175,18.96,112.1,123.2,111.7
AR,1970,100.3,9.644,89.878,0.165,18.52,121.5,131.8,114.8
