age_resp,asset_value,bank,base_age,busia,child,child_age,child_female,connected,connected_r,connected_rate,educ,electric_lighting,emi,energy_spending,energyspending,female,fraction_employed_all,gridelec_spending,hhid,hours_worked,housing,iron,kerosene_spending,knowledge_index,life_index,market,metered,mobilephone,moved,nemi,number_appliances,percapcons,population,r_crime_index,radio,reppid,round2,sibs,siteno,solar_shs,st_score_kcpe,st_studenttest,survey,symptoms_index,television,tot_hh_month_earn,transearly,treat_full,treat_low,treat_med,treated_all
44,1396.9475,0,42,0,0,,,0,,4.8780489,0,0,.17616659,2.0299673,3.8987622,1,0,0,11,80,-.57668519,1,2.0299673,,1.8467165,0,,1,0,.49606103,3,321.39343,217,-.26507324,1,1101.11,1,1,1101,0,,,10oct2017,-.64001912,0,.94731802,0,0,0,0,0
63,1551.5444,0,69,0,0,,,0,,4.8780489,0,0,.21206696,36.53941,1.9493811,1,0,0,12,78,-.57668519,0,8.1198692,,-.65365559,0,,0,0,-.12949826,1,386.31628,217,.58609635,1,1101.12,1,1,1101,0,,,10oct2017,-.17825466,0,3.7892721,0,0,0,0,0
62,1453.8695,1,47,0,0,,,0,,4.8780489,0,0,.60991675,20.299671,3.8987622,0,33.333336,0,13,80,-.57668519,0,12.179802,,-1.0108516,0,,1,0,-.31767416,2,319.47351,217,.58609635,1,1101.13,1,2,1101,0,,,10oct2017,-.17825466,0,4.7365899,0,0,0,0,0
37,1495.4143,0,,0,0,,,0,,4.8780489,0,0,-.47922033,1.6239737,2.4367263,1,50,0,15,51,-.57668519,0,1.2179803,,.77512848,0,,1,1,-.88406152,1,122.65874,217,-.42794371,0,1101.15,1,3,1101,0,,,10oct2017,-2.0253124,0,16.483334,0,0,0,0,0
77,769.98096,0,74,0,0,,,1,,4.8780489,0,1,-.87292033,2.0299673,2.4367263,1,0,.53506655,18,15,-.57668519,0,2.0299673,,.41793248,0,,1,0,-.051498536,4,421.55652,217,.58609635,1,1101.18,1,0,1101,0,,,10oct2017,-1.1017835,1,0,0,0,0,0,0
46,1551.1152,0,43,0,0,,,0,,4.8780489,0,0,-.76010162,3.6539409,2.4367263,1,0,0,19,53,-.57668519,0,2.841954,,-1.3680476,0,,1,0,-1.0416666,1,158.70735,217,-.26507324,0,1101.19,1,1,1101,0,,,10oct2017,.28350979,0,2.368295,0,0,0,0,0
28,52.764191,0,84,0,0,,,0,,4.8780489,0,0,-.25702682,4.0599346,1.4620358,1,0,0,21,80,-.57668519,0,4.0599346,,-.29645956,0,,0,0,.058677696,0,243.17653,217,.58609635,0,1101.21,1,0,1101,0,,,10oct2017,-.17825466,0,28.41954,0,0,0,0,0
47,899.66412,0,69,0,0,,,0,,4.8780489,0,0,-.11437104,48.719215,1.4620358,1,33.333336,0,22,80,-.57668519,0,8.1198692,,1.8467165,0,,1,0,.70120525,1,148.57498,217,.58609635,0,1101.22,1,5,1101,0,,,10oct2017,-1.1017835,0,.035524424,0,0,0,0,0
45,1366.6552,0,42,0,0,,,0,,4.8780489,0,0,.24806741,4.0599346,10.721596,0,0,0,24,63,1.6232474,0,4.0599346,,1.8467165,0,,1,0,.65352261,2,519.3197,217,-.42794371,1,1101.24,1,0,1101,0,,,10oct2017,-.17825466,0,.94731802,0,0,0,0,0
57,1838.3651,0,52,0,0,,,0,,4.8780489,0,0,1.9670229,10.149836,2.9240716,1,0,0,27,80,-.57668519,0,2.0299673,,-1.3680476,0,,1,0,-.99237823,2,1265.6632,217,.58609635,1,1101.27,1,0,1101,0,,,10oct2017,-1.1017835,0,0,0,0,0,0,0
64,2400.0283,0,69,0,0,,,0,,4.8780489,0,0,-.037222464,12.179804,4.8734527,1,0,0,30,80,-2.8641171,0,4.0599346,,.060736455,0,,1,0,-.17081252,3,221.23033,217,.58609635,1,1101.30,1,4,1101,0,,,10oct2017,-1.563548,1,.94731802,0,0,0,0,0
35,1754.2856,0,31,0,0,,,0,,4.8780489,0,0,-.16309857,4.7365899,3.4114168,1,0,0,34,80,-.57668519,0,0,,.060736455,0,,1,0,-.5488283,1,157.7095,217,-.92426896,0,1101.34,1,3,1101,1,,,10oct2017,-.17825466,0,.56839079,0,0,0,0,0
59,5688.8311,0,62,0,0,,,0,,9.375,0,0,.62810141,10.149836,10.721596,1,33.333336,0,15,40,1.7684222,0,1.6239737,,.77512848,0,,1,0,.48862079,1,302.41098,336,-.26507324,0,1102.15,1,4,1102,1,,,01nov2017,.74527425,0,8.8641901,0,0,1,0,1
18,297.97415,0,52,0,0,,,0,,9.375,0,0,.52837121,18.675697,11.696286,0,50,0,16,80,-.57668519,0,5.683908,,.060736455,0,,1,0,.33858299,3,219.77777,336,.58609635,0,1102.16,1,2,1102,0,,,22nov2017,-.17825466,1,23.682949,0,0,1,0,1
69,474.94373,0,66,0,0,,,0,,9.375,0,0,.36989689,3.2479475,2.9240716,1,100,0,20,54,1.6232474,0,2.0299673,,.77512848,0,,1,0,.71493489,1,315.26743,336,.58609635,0,1102.20,1,0,1102,0,,,22nov2017,-.17825466,0,4.7365899,0,0,1,0,1
85,553.67749,0,,0,0,,,0,,9.375,,0,.78454149,2.4359605,1.4620358,1,100,0,21,66,-.57668519,0,.81198686,,-.29645956,0,,0,0,-.81248647,1,489.00555,336,-.31814155,1,1102.21,1,0,1102,0,,,22nov2017,-1.1017835,0,2.841954,0,0,1,0,1
58,503.19022,0,57,0,0,,,0,,9.375,0,0,-.057533104,2.4359605,2.4367263,1,0,0,22,74,1.7684222,0,2.4359605,,-1.3680476,0,,1,0,-.17085664,2,155.61276,336,.58609635,0,1102.22,1,0,1102,0,,,01nov2017,.28350979,1,0,0,0,1,0,1
